2022-12-11 09:29:24.506943  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}} 
2022-12-11 09:29:31.527380  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 4}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:29:36.550781  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 3}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:29:40.570095  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 2}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:29:47.589559  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:29:54.606656  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 4}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:29:59.631259  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 3}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:30:02.652874  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 2}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:30:08.682020  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 1}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:30:15.708969  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 0}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:30:21.730752  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
2022-12-11 09:30:27.758471  Item present. Informing Trader. {'4_Boar': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 4}, '5_Boar': {'seller': {'peerId': 5, 'hostAddr': '127.0.0.1:10035', 'productName': 'Boar'}, 'productName': 'Boar', 'productCount': 5}, '4_Salt': {'seller': {'peerId': 4, 'hostAddr': '127.0.0.1:10034', 'productName': 'Salt'}, 'productName': 'Salt', 'productCount': 5}} 
